,disease,hist_lncRNA,pre_hist_lncRNA,value,len_hist_disease,len_pre_hist_lncRNA
387,Prostate carcinoma,"['LINC00339', 'GAS5', 'PRKCQ-AS1', 'NUTM2A-AS1', 'H19', 'HOTAIR', 'LINC01089', 'MIR17HG', 'DHRS4-AS1', 'PSMA3-AS1', 'ARHGAP27P1-BPTFP1-KPNA2P3', 'SNHG16', 'ATP6V1B1-AS1', 'HAGLR', 'KANSL1L-AS1', 'MCM3AP-AS1', 'FGD5-AS1', 'THAP9-AS1', 'TENM3-AS1', 'CKMT2-AS1', 'TMEM161B-DT', 'SNHG5', 'HOXA11-AS', 'SLC26A4-AS1', 'OXR1', 'LINC02878', 'XIST', 'LINC00894', 'DDX19A-DT']","['LINC00630', 'AGBL4-IT1', 'TMPO-AS1', 'MUC20-OT1', 'KRTAP5-AS1', 'CEROX1', 'RASA3-IT1', 'LINC02397', 'ESAM-AS1', 'SNHG12', 'UBL7-DT', 'DISP1', 'LINC01783', 'MELTF-AS1', 'CHROMR', 'LINC02820', 'MIR3936HG', 'SORL1-AS1', 'LINC00242', 'GNAS-AS1', 'THUMPD3-AS1', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'PCF11-AS1', 'KTN1-AS1', 'PRMT5-DT', 'HOXA10-AS', 'MEG8', 'LINC01689', 'PRR7-AS1', 'LINC00882', 'LINC-PINT', 'MAP4K3-DT', 'LINC01915', 'LINC00511', 'TTC28-AS1', 'SNHG15', 'TSPOAP1-AS1', 'SNHG29', 'RNF139-DT', 'FGD5-AS1', 'LINC00525', 'PSMA3-AS1', 'SCARNA9', 'LINC00960', 'ZNF790-AS1', 'LINC01703', 'LINC00661']",4,29,50
388,Prostate neoplasms,"['LINC01641', 'NUTM2A-AS1', 'LMNTD2-AS1', 'H19', 'NEAT1', 'SORL1-AS1', 'ESAM-AS1', 'FMNL1-DT', 'LINC00662', 'TMEM147-AS1', 'ZNF793-AS1', 'PCBP1-AS1', 'CYTOR', 'TTN-AS1', 'GNAS-AS1', 'TRPM2-AS', 'TTC28-AS1', 'FGD5-AS1', 'LINC00960', 'DUBR', 'DLG1-AS1', 'CTBP1-DT', 'CKMT2-AS1', 'NR2F1-AS1', 'HCG18', 'HOTAIRM1', 'EPHA1-AS1', 'RNF139-DT', 'SNHG7', 'XIST', 'LINC00630']","['LINC00630', 'AGBL4-IT1', 'MUC20-OT1', 'TMPO-AS1', 'RASA3-IT1', 'KRTAP5-AS1', 'CEROX1', 'LINC02397', 'ESAM-AS1', 'SNHG12', 'DISP1', 'UBL7-DT', 'MELTF-AS1', 'LINC01783', 'SORL1-AS1', 'MIR3936HG', 'LINC02820', 'CHROMR', 'LINC00242', 'GNAS-AS1', 'THUMPD3-AS1', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'KTN1-AS1', 'PCF11-AS1', 'MEG8', 'HOXA10-AS', 'PRMT5-DT', 'LINC01689', 'LINC00882', 'LINC01915', 'MAP4K3-DT', 'LINC-PINT', 'PRR7-AS1', 'LINC00511', 'TTC28-AS1', 'SNHG29', 'TSPOAP1-AS1', 'SNHG15', 'FGD5-AS1', 'RNF139-DT', 'LINC00960', 'PSMA3-AS1', 'LINC00525', 'SCARNA9', 'LINC01703', 'ZNF790-AS1', 'LINC00661']",8,31,50
389,Prostatic neoplasms,"['LINC02593', 'PINK1-AS', 'LINC00339', 'SNHG3', 'SNHG12', 'MATN1-AS1', 'CCDC18-AS1', 'WARS2-AS1', 'MIR181A1HG', 'KCNH1-IT1', 'PRKCQ-AS1', 'WAC-AS1', 'NUTM2A-AS1', 'LINC00863', 'ENTPD1-AS1', 'LBX1-AS1', 'C10orf95-AS1', 'LMNTD2-AS1', 'H19', 'SBF2-AS1', 'SNHG1', 'NEAT1', 'LINC01537', 'SCARNA9', 'NINJ2-AS1', 'C1RL-AS1', 'KLRK1-AS1', 'HOTAIR', 'GIHCG', 'LINC02820', 'LINC02457', 'LINC00173', 'INTS6-AS1', 'LINC00641', 'PRMT5-DT', 'AP1G2-AS1', 'PSMA3-AS1', 'SNHG10', 'SNHG14', 'RAD51-AS1', 'OIP5-AS1', 'ASB16-AS1', 'SP2-AS1', 'LINC02086', 'ARHGAP27P1-BPTFP1-KPNA2P3', 'LINC00511', 'SNHG16', 'SNHG20', 'ZNF407-AS1', 'RBFADN', 'LINC00661', 'ZNF30-AS1', 'TMEM147-AS1', 'LINC00665', 'ZNF790-AS1', 'IGFL2-AS1', 'MZF1-AS1', 'MAP4K3-DT', 'PCBP1-AS1', 'ATP6V1B1-AS1', 'LRRTM4-AS1', 'LINC01806', 'HAGLR', 'LINC01238', 'ZNF337-AS1', 'MIR663AHG', 'SNHG11', 'PELATON', 'LINC02246', 'LINC00319', 'LINC00313', 'TRPM2-AS', 'MCM3AP-AS1', 'TTC28-AS1', 'THUMPD3-AS1', 'FGD5-AS1', 'PSMD6-AS1', 'MAGI1-IT1', 'LINC00960', 'CTBP1-DT', 'LINC02616', 'KLF3-AS1', 'THAP9-AS1', 'MIR302CHG', 'LINC02466', 'TENM3-AS1', 'LINC01194', 'PURPL', 'LINC02198', 'CKMT2-AS1', 'TMEM161B-DT', 'TICAM2-AS1', 'LINC02202', 'HCG18', 'HCP5', 'SCIRT', 'SNHG5', 'TRAF3IP2-AS1', 'HOXA-AS2', 'HOXA-AS3', 'GARS1-DT', 'SNHG15', 'LINC00525', 'LINC00174', 'MAGI2-AS3', 'LINC00996', 'LINC00689', 'RIPK2-DT', 'UBR5-DT', 'GASAL1', 'OXR1', 'PVT1', 'LINC02055', 'LINC02878', 'ZNF252P-AS1', 'CDKN2B-AS1', 'EBLN3P', 'SNHG7', 'XIST', 'LINC00894', 'FENDRR', 'COX10-AS1', 'SNHG29', 'CCDC144NL-AS1', 'SRRM2-AS1']","['LINC00630', 'AGBL4-IT1', 'MUC20-OT1', 'TMPO-AS1', 'RASA3-IT1', 'CEROX1', 'KRTAP5-AS1', 'LINC02397', 'DISP1', 'ESAM-AS1', 'SNHG12', 'UBL7-DT', 'MELTF-AS1', 'SORL1-AS1', 'LINC01783', 'MIR3936HG', 'LINC02820', 'LINC00242', 'GNAS-AS1', 'CHROMR', 'THUMPD3-AS1', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'KTN1-AS1', 'MEG8', 'PCF11-AS1', 'HOXA10-AS', 'PRMT5-DT', 'LINC01689', 'LINC01915', 'LINC00882', 'MAP4K3-DT', 'LINC-PINT', 'PRR7-AS1', 'LINC00511', 'TTC28-AS1', 'SNHG29', 'TSPOAP1-AS1', 'SNHG15', 'LINC01703', 'FGD5-AS1', 'LINC00960', 'PSMA3-AS1', 'LINC00525', 'RNF139-DT', 'SCARNA9', 'LINC00661', 'ZNF790-AS1']",19,125,50
390,Psoriasis,"['LINC01654', 'GAS5', 'HOTAIR', 'PRMT5-DT', 'ZFHX2-AS1', 'DHRS4-AS1', 'ARHGAP27P1-BPTFP1-KPNA2P3', 'LINC00661', 'NOP14-AS1', 'LINC00963', 'XIST', 'LINC00893', 'DDX19A-DT']","['LINC00630', 'AGBL4-IT1', 'TMPO-AS1', 'MUC20-OT1', 'KRTAP5-AS1', 'RASA3-IT1', 'CEROX1', 'LINC02397', 'ESAM-AS1', 'SNHG12', 'DISP1', 'UBL7-DT', 'MELTF-AS1', 'LINC01783', 'SORL1-AS1', 'MIR3936HG', 'LINC02820', 'CHROMR', 'LINC00242', 'GNAS-AS1', 'THUMPD3-AS1', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'KTN1-AS1', 'PCF11-AS1', 'MEG8', 'HOXA10-AS', 'PRMT5-DT', 'LINC01689', 'LINC00882', 'LINC01915', 'LINC-PINT', 'PRR7-AS1', 'MAP4K3-DT', 'LINC00511', 'TTC28-AS1', 'SNHG29', 'TSPOAP1-AS1', 'SNHG15', 'FGD5-AS1', 'RNF139-DT', 'LINC00525', 'PSMA3-AS1', 'LINC00960', 'SCARNA9', 'LINC01703', 'ZNF790-AS1', 'LINC00661']",2,13,50
391,Pulmonary emphysema,"['NEAT1', 'OIP5-AS1', 'ZNF337-AS1', 'THAP7-AS1', 'TTC28-AS1', 'FGD5-AS1', 'HCP5', 'SNHG29']","['LINC00630', 'AGBL4-IT1', 'MUC20-OT1', 'TMPO-AS1', 'RASA3-IT1', 'CEROX1', 'KRTAP5-AS1', 'LINC02397', 'DISP1', 'ESAM-AS1', 'SNHG12', 'UBL7-DT', 'MELTF-AS1', 'SORL1-AS1', 'LINC01783', 'MIR3936HG', 'LINC02820', 'LINC00242', 'GNAS-AS1', 'CHROMR', 'THUMPD3-AS1', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'KTN1-AS1', 'MEG8', 'PCF11-AS1', 'HOXA10-AS', 'PRMT5-DT', 'LINC01689', 'LINC01915', 'LINC00882', 'MAP4K3-DT', 'LINC-PINT', 'PRR7-AS1', 'LINC00511', 'TTC28-AS1', 'SNHG29', 'TSPOAP1-AS1', 'SNHG15', 'LINC01703', 'FGD5-AS1', 'LINC00960', 'PSMA3-AS1', 'LINC00525', 'RNF139-DT', 'SCARNA9', 'LINC00661', 'ZNF790-AS1']",3,8,50
392,Pulmonary fibrosis,"['LINC01641', 'NUTM2A-AS1', 'LMNTD2-AS1', 'NEAT1', 'SORL1-AS1', 'FMNL1-DT', 'LINC00662', 'PCBP1-AS1', 'GNAS-AS1', 'CKMT2-AS1', 'NR2F1-AS1', 'HCG18', 'SNHG7', 'XIST']","['LINC00630', 'AGBL4-IT1', 'MUC20-OT1', 'TMPO-AS1', 'RASA3-IT1', 'KRTAP5-AS1', 'CEROX1', 'LINC02397', 'ESAM-AS1', 'DISP1', 'SNHG12', 'UBL7-DT', 'MELTF-AS1', 'SORL1-AS1', 'LINC01783', 'MIR3936HG', 'LINC02820', 'CHROMR', 'LINC00242', 'GNAS-AS1', 'THUMPD3-AS1', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'KTN1-AS1', 'PCF11-AS1', 'MEG8', 'HOXA10-AS', 'PRMT5-DT', 'LINC01689', 'LINC00882', 'LINC01915', 'MAP4K3-DT', 'LINC-PINT', 'PRR7-AS1', 'LINC00511', 'TTC28-AS1', 'SNHG29', 'TSPOAP1-AS1', 'SNHG15', 'FGD5-AS1', 'LINC01703', 'LINC00960', 'RNF139-DT', 'PSMA3-AS1', 'LINC00525', 'SCARNA9', 'LINC00661', 'ZNF790-AS1']",2,14,50
393,Pulmonary hypertension,"['LINC00339', 'MIR181A1HG', 'NUTM2B-AS1', 'NUTM2A-AS1', 'H19', 'LINC00958', 'NEAT1', 'HOTAIR', 'VASH1-AS1', 'LINC02086', 'ARHGAP27P1-BPTFP1-KPNA2P3', 'SNHG16', 'SNHG20', 'RBFADN', 'ZNF790-AS1', 'ATP6V1B1-AS1', 'HAGLR', 'SNHG17', 'FGD5-AS1', 'MAGI1-IT1', 'LINC00882', 'TENM3-AS1', 'LINC01194', 'CKMT2-AS1', 'TICAM2-AS1', 'LINC02202', 'HCG17', 'HCG18', 'HCP5', 'LINC00242', 'HOXA-AS2', 'HOXA11-AS', 'GASAL1', 'OXR1', 'PVT1', 'EBLN3P', 'SNHG7', 'XIST', 'LINC00894', 'LINC02195', 'FENDRR', 'COX10-AS1']","['LINC00630', 'AGBL4-IT1', 'MUC20-OT1', 'TMPO-AS1', 'RASA3-IT1', 'KRTAP5-AS1', 'CEROX1', 'LINC02397', 'ESAM-AS1', 'SNHG12', 'DISP1', 'UBL7-DT', 'MELTF-AS1', 'LINC01783', 'SORL1-AS1', 'MIR3936HG', 'LINC02820', 'CHROMR', 'LINC00242', 'GNAS-AS1', 'THUMPD3-AS1', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'KTN1-AS1', 'PCF11-AS1', 'MEG8', 'HOXA10-AS', 'PRMT5-DT', 'LINC01689', 'LINC00882', 'LINC01915', 'LINC-PINT', 'MAP4K3-DT', 'PRR7-AS1', 'LINC00511', 'TTC28-AS1', 'SNHG29', 'TSPOAP1-AS1', 'SNHG15', 'FGD5-AS1', 'RNF139-DT', 'PSMA3-AS1', 'LINC00525', 'LINC00960', 'SCARNA9', 'LINC01703', 'ZNF790-AS1', 'LINC00661']",7,42,50
394,Pulmonary tuberculosis,"['LINC01772', 'DHCR24-DT', 'LINC02802', 'LEMD1-AS1', 'DISP1', 'NUTM2B-AS1', 'NUTM2A-AS1', 'KRTAP5-AS1', 'SNHG1', 'NINJ2-AS1', 'C1RL-AS1', 'HOTAIR', 'MIR4500HG', 'MIR17HG', 'LINC00641', 'PRKCH-AS1', 'SNHG14', 'OIP5-AS1', 'SNHG16', 'LINC00482', 'ZNF407-AS1', 'CYTOR', 'HAGLR', 'CHROMR', 'TTN-AS1', 'LINC02891', 'MIATNB', 'NUP50-DT', 'PTPRG-AS1', 'LINC02085', 'CTBP1-DT', 'HCG18', 'SNHG5', 'LINC00242', 'SNHG15', 'LINC00525', 'XIST', 'FENDRR', 'ZNF232-AS1', 'COX10-AS1']","['LINC00630', 'AGBL4-IT1', 'MUC20-OT1', 'TMPO-AS1', 'RASA3-IT1', 'CEROX1', 'KRTAP5-AS1', 'LINC02397', 'DISP1', 'ESAM-AS1', 'SNHG12', 'UBL7-DT', 'MELTF-AS1', 'SORL1-AS1', 'LINC01783', 'MIR3936HG', 'LINC02820', 'LINC00242', 'GNAS-AS1', 'CHROMR', 'THUMPD3-AS1', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'KTN1-AS1', 'MEG8', 'PCF11-AS1', 'HOXA10-AS', 'PRMT5-DT', 'LINC01689', 'LINC01915', 'LINC00882', 'MAP4K3-DT', 'LINC-PINT', 'PRR7-AS1', 'LINC00511', 'TTC28-AS1', 'SNHG29', 'TSPOAP1-AS1', 'SNHG15', 'LINC01703', 'FGD5-AS1', 'LINC00960', 'PSMA3-AS1', 'LINC00525', 'RNF139-DT', 'SCARNA9', 'LINC00661', 'ZNF790-AS1']",6,40,50
395,Recurrent pregnancy loss,"['LINC01654', 'NEAT1', 'PRMT5-DT', 'ZFHX2-AS1', 'LINC00661', 'NOP14-AS1', 'LINC00963', 'XIST', 'LINC00893']","['LINC00630', 'MUC20-OT1', 'RASA3-IT1', 'AGBL4-IT1', 'TMPO-AS1', 'CEROX1', 'KRTAP5-AS1', 'DISP1', 'LINC02397', 'ESAM-AS1', 'SNHG12', 'SORL1-AS1', 'UBL7-DT', 'MELTF-AS1', 'MIR3936HG', 'LINC01783', 'GNAS-AS1', 'LINC02820', 'LINC00242', 'THUMPD3-AS1', 'CHROMR', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'MEG8', 'SNHG6', 'KTN1-AS1', 'HOXA10-AS', 'PCF11-AS1', 'LINC01689', 'LINC01915', 'PRMT5-DT', 'LINC00882', 'MAP4K3-DT', 'LINC01703', 'LINC-PINT', 'LINC00511', 'PRR7-AS1', 'SNHG29', 'TTC28-AS1', 'TSPOAP1-AS1', 'FGD5-AS1', 'SNHG15', 'LINC00960', 'PSMA3-AS1', 'LINC00661', 'SCARNA9', 'LINC00525', 'RNF139-DT', 'ZNF790-AS1']",2,9,50
396,Relapsing-remitting multiple sclerosis,"['LINC01128', 'LINC02593', 'LINC01772', 'LINC00339', 'SNHG3', 'SNHG12', 'MATN1-AS1', 'ERI3-IT1', 'ZRANB2-AS2', 'CCDC18-AS1', 'LINC01719', 'LINC02802', 'TDRKH-AS1', 'RUSC1-AS1', 'GAS5', 'RASAL2-AS1', 'MIR181A1HG', 'PCAT6', 'LEMD1-AS1', 'LINC00467', 'LINC01641', 'PRKCQ-AS1', 'VIM-AS1', 'ST8SIA6-AS1', 'WAC-AS1', 'NUTM2B-AS1', 'NUTM2A-AS1', 'ENTPD1-AS1', 'C10orf95-AS1', 'CASC2', 'GRK5-IT1', 'EDRF1-DT', 'LMNTD2-AS1', 'H19', 'SBF2-AS1', 'LINC00958', 'SNHG1', 'NEAT1', 'SORL1-AS1', 'ESAM-AS1', 'NINJ2-AS1', 'C1RL-AS1', 'BCDIN3D-AS1', 'HOTAIR', 'TMPO-AS1', 'LINC02457', 'LINC00173', 'LINC01089', 'TPT1-AS1', 'DLEU2', 'INTS6-AS1', 'MIR17HG', 'DNAJC3-DT', 'LINC00641', 'PRMT5-DT', 'AP1G2-AS1', 'DHRS4-AS1', 'G2E3-AS1', 'KTN1-AS1', 'PSMA3-AS1', 'VASH1-AS1', 'MEG8', 'SNHG14', 'OIP5-AS1', 'EIF3J-DT', 'IQCH-AS1', 'LOXL1-AS1', 'UBL7-DT', 'NR2F2-AS1', 'ALDH1A3-AS1', 'FMNL1-DT', 'LINC02086', 'TOB1-AS1', 'ARHGAP27P1-BPTFP1-KPNA2P3', 'SOX9-AS1', 'LINC00511', 'SNHG16', 'SNHG20', 'LINC00482', 'LINC01915', 'ZNF407-AS1', 'RBFADN', 'LINC00663', 'LINC00662', 'TMEM147-AS1', 'LINC00665', 'ZNF790-AS1', 'ZNF793-AS1', 'IGFL2-AS1', 'A1BG-AS1', 'MZF1-AS1', 'SOS1-IT1', 'PCBP1-AS1', 'ATP6V1B1-AS1', 'LRRTM4-AS1', 'CYTOR', 'MIR4435-2HG', 'NIFK-AS1', 'TEX41', 'LINC01806', 'CERS6-AS1', 'HAGLR', 'TTN-AS1', 'KANSL1L-AS1', 'MFF-DT', 'CAPN10-DT', 'ZNF337-AS1', 'SNHG17', 'GNAS-AS1', 'MIR646HG', 'LINC00649', 'CBR3-AS1', 'LINC00313', 'TRPM2-AS', 'MCM3AP-AS1', 'LINC02891', 'THAP7-AS1', 'TTC28-AS1', 'NUP50-DT', 'THUMPD3-AS1', 'FGD5-AS1', 'LIMD1-AS1', 'PSMD6-AS1', 'MAGI1-IT1', 'LINC02085', 'LINC00882', 'DUBR', 'DLG1-AS1', 'CTBP1-DT', 'LINC02616', 'UBA6-DT', 'AP1AR-DT', 'TENM3-AS1', 'LINC01194', 'PURPL', 'LIFR-AS1', 'CKMT2-AS1', 'TMEM161B-DT', 'NR2F1-AS1', 'TICAM2-AS1', 'LINC01184', 'MIR3936HG', 'LINC02202', 'HCG17', 'HCG18', 'HCP5', 'SNHG5', 'TRAF3IP2-AS1', 'LINC00242', 'ZFAND2A-DT', 'HOTAIRM1', 'HOXA-AS2', 'HOXA11-AS', 'GARS1-DT', 'SNHG15', 'LINC00525', 'LINC00174', 'MAGI2-AS3', 'SLC26A4-AS1', 'LINC00689', 'TNFRSF10A-DT', 'GASAL1', 'OXR1', 'OXR1-AS1', 'RNF139-DT', 'PVT1', 'LINC02055', 'CDKN2B-AS1', 'EBLN3P', 'DAPK1-IT1', 'LINC00963', 'SNHG7', 'XIST', 'JPX', 'LINC00893', 'LINC00894', 'LINC02195', 'FENDRR', 'MIR497HG', 'COX10-AS1', 'SNHG29', 'CCDC144NL-AS1', 'LINC01270', 'ERVK13-1', 'ZNF213-AS1']","['PRR7-AS1', 'MIR4435-2HG', 'CHROMR', 'CATIP-AS1', 'PURPL', 'LINC-PINT', 'ALDH1A3-AS1', 'SNHG20', 'LINC02466', 'GAS5', 'CERS6-AS1', 'WARS2-AS1', 'LINC01783', 'AGBL4-IT1', 'OXR1', 'LINC02891', 'NEAT1', 'KMT2E', 'LINC02820', 'RNF139-DT', 'MAP4K3-DT', 'GASAL1', 'SNHG15', 'LINC01537', 'RAD51-AS1', 'ZFAND2A-DT', 'LINC00242', 'TTC28-AS1', 'LINC00663', 'HAGLR', 'CAPN10-DT', 'LINC02593', 'LINC00511', 'PINK1-AS', 'LINC00525', 'NR2F2-AS1', 'PRMT5-DT', 'HLA-F-AS1', 'THUMPD3-AS1', 'TMPO-AS1', 'FLG-AS1', 'CCDC18-AS1', 'MCM3AP-AS1', 'SCARNA9', 'MAGI1-IT1', 'LINC00461', 'ERVK13-1', 'LINC00996', 'LINC00485', 'HCP5']",30,185,50
397,Renal carcinoma,"['LINC02593', 'LINC00339', 'SNHG12', 'PRKCQ-AS1', 'NUTM2A-AS1', 'H19', 'LINC01537', 'HOTAIR', 'LINC01089', 'MIR17HG', 'LINC00665', 'IGFL2-AS1', 'ATP6V1B1-AS1', 'HAGLR', 'KANSL1L-AS1', 'ZNF337-AS1', 'TRPM2-AS', 'MCM3AP-AS1', 'FGD5-AS1', 'LINC02616', 'KLF3-AS1', 'CKMT2-AS1', 'TMEM161B-DT', 'HOXA11-AS', 'LINC00174', 'MAGI2-AS3', 'SLC26A4-AS1', 'XIST']","['LINC00630', 'AGBL4-IT1', 'MUC20-OT1', 'RASA3-IT1', 'TMPO-AS1', 'CEROX1', 'KRTAP5-AS1', 'DISP1', 'LINC02397', 'ESAM-AS1', 'SNHG12', 'UBL7-DT', 'SORL1-AS1', 'MELTF-AS1', 'LINC01783', 'MIR3936HG', 'LINC02820', 'GNAS-AS1', 'LINC00242', 'CHROMR', 'THUMPD3-AS1', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'MEG8', 'KTN1-AS1', 'HOXA10-AS', 'PCF11-AS1', 'PRMT5-DT', 'LINC01689', 'LINC01915', 'LINC00882', 'MAP4K3-DT', 'LINC-PINT', 'LINC00511', 'PRR7-AS1', 'TTC28-AS1', 'SNHG29', 'LINC01703', 'TSPOAP1-AS1', 'FGD5-AS1', 'SNHG15', 'LINC00960', 'PSMA3-AS1', 'SCARNA9', 'LINC00525', 'RNF139-DT', 'LINC00661', 'ZNF790-AS1']",3,28,50
398,Renal cell carcinoma,"['PINK1-AS', 'LINC00339', 'SNHG3', 'SNHG12', 'MATN1-AS1', 'ERI3-IT1', 'TDRKH-AS1', 'GAS5', 'RASAL2-AS1', 'MIR181A1HG', 'LINC00467', 'LINC01641', 'NUTM2B-AS1', 'NUTM2A-AS1', 'OLMALINC', 'C10orf95-AS1', 'CASC2', 'EDRF1-DT', 'LMNTD2-AS1', 'H19', 'SNHG1', 'NEAT1', 'SCARNA9', 'USP2-AS1', 'SORL1-AS1', 'ESAM-AS1', 'NINJ2-AS1', 'C1RL-AS1', 'BCDIN3D-AS1', 'HOTAIR', 'LINC01089', 'MIR17HG', 'LINC00641', 'PRMT5-DT', 'DHRS4-AS1', 'G2E3-AS1', 'PRKCH-AS1', 'MEG8', 'SNHG14', 'OIP5-AS1', 'IQCH-AS1', 'LOXL1-AS1', 'ALDH1A3-AS1', 'CEROX1', 'RAMP2-AS1', 'FMNL1-DT', 'LINC02086', 'TSPOAP1-AS1', 'ARHGAP27P1-BPTFP1-KPNA2P3', 'LINC00511', 'SNHG16', 'SNHG20', 'LINC00482', 'ZNF407-AS1', 'LINC00662', 'TMEM147-AS1', 'LINC00665', 'ZNF790-AS1', 'CARD8-AS1', 'A1BG-AS1', 'MZF1-AS1', 'PCBP1-AS1', 'ATP6V1B1-AS1', 'CYTOR', 'MIR4435-2HG', 'PAX8-AS1', 'NIFK-AS1', 'TEX41', 'CERS6-AS1', 'HAGLR', 'TTN-AS1', 'PELATON', 'GNAS-AS1', 'MIR646HG', 'LINC00649', 'TRPM2-AS', 'MCM3AP-AS1', 'LINC00852', 'FGD5-AS1', 'LIMD1-AS1', 'MAGI1-IT1', 'LINC00879', 'MUC20-OT1', 'DLG1-AS1', 'CTBP1-DT', 'UBA6-DT', 'LINC02466', 'TENM3-AS1', 'LINC01194', 'ZBED3-AS1', 'CKMT2-AS1', 'NR2F1-AS1', 'LINC01184', 'LINC02202', 'HCG17', 'HCG18', 'HCP5', 'SNHG5', 'TRAF3IP2-AS1', 'LINC00242', 'HOTAIRM1', 'HOXA-AS2', 'HOXA-AS3', 'HOXA11-AS', 'GARS1-DT', 'SNHG15', 'LINC00174', 'LINC00689', 'MCPH1-DT', 'ZNNT1', 'GASAL1', 'OXR1', 'RNF139-DT', 'PVT1', 'EBLN3P', 'FAM201A', 'SNHG7', 'XIST', 'JPX', 'LINC00893', 'LINC00894', 'FBXL19-AS1', 'FENDRR', 'ZNF232-AS1', 'MIR497HG', 'COX10-AS1', 'SNHG29', 'CCDC144NL-AS1', 'ERVK13-1']","['AGBL4-IT1', 'LINC00630', 'TMPO-AS1', 'MUC20-OT1', 'KRTAP5-AS1', 'LINC02397', 'CEROX1', 'ESAM-AS1', 'UBL7-DT', 'SNHG12', 'RASA3-IT1', 'LINC01783', 'MELTF-AS1', 'CHROMR', 'DISP1', 'LINC02820', 'LINC00242', 'MIR3936HG', 'SNHG20', 'THUMPD3-AS1', 'SORL1-AS1', 'GNAS-AS1', 'OXR1', 'ATP6V1B1-AS1', 'PCF11-AS1', 'SNHG6', 'PRMT5-DT', 'KTN1-AS1', 'PRR7-AS1', 'HOXA10-AS', 'LINC-PINT', 'MEG8', 'LINC01689', 'LINC00882', 'MAP4K3-DT', 'LINC01915', 'LINC00511', 'TTC28-AS1', 'SNHG15', 'TSPOAP1-AS1', 'RNF139-DT', 'SNHG29', 'LINC00525', 'FGD5-AS1', 'PSMA3-AS1', 'SCARNA9', 'LINC00960', 'ZNF790-AS1', 'LINC02891', 'LINC01227']",20,129,50
399,Renal clear cell carcinoma,"['SNHG3', 'CCDC18-AS1', 'MIR181A1HG', 'NUTM2A-AS1', 'OLMALINC', 'H19', 'NEAT1', 'SCARNA9', 'ESAM-AS1', 'HOTAIR', 'MIR17HG', 'DNAJC3-DT', 'DHRS4-AS1', 'PSMA3-AS1', 'UBL7-DT', 'LINC02086', 'ARHGAP27P1-BPTFP1-KPNA2P3', 'SNHG16', 'SNHG20', 'LINC00662', 'TMEM147-AS1', 'ZNF790-AS1', 'ZNF793-AS1', 'SOS1-IT1', 'PCBP1-AS1', 'ATP6V1B1-AS1', 'CYTOR', 'HAGLR', 'CHROMR', 'TTN-AS1', 'TRPM2-AS', 'TTC28-AS1', 'LINC00899', 'FGD5-AS1', 'MAGI1-IT1', 'LINC00960', 'DUBR', 'DLG1-AS1', 'CTBP1-DT', 'USP38-DT', 'TENM3-AS1', 'LINC01194', 'CKMT2-AS1', 'LINC02202', 'HCG18', 'HCP5', 'PSMG3-AS1', 'HOTAIRM1', 'HOXA-AS2', 'HOXA11-AS', 'EPHA1-AS1', 'GASAL1', 'RNF139-DT', 'PVT1', 'EBLN3P', 'LINC00476', 'LINC01278', 'XIST', 'LINC00630', 'COX10-AS1']","['LINC00630', 'AGBL4-IT1', 'MUC20-OT1', 'TMPO-AS1', 'RASA3-IT1', 'CEROX1', 'KRTAP5-AS1', 'LINC02397', 'DISP1', 'ESAM-AS1', 'SNHG12', 'UBL7-DT', 'MELTF-AS1', 'SORL1-AS1', 'LINC01783', 'MIR3936HG', 'LINC02820', 'LINC00242', 'CHROMR', 'GNAS-AS1', 'THUMPD3-AS1', 'SNHG20', 'OXR1', 'ATP6V1B1-AS1', 'SNHG6', 'KTN1-AS1', 'MEG8', 'PCF11-AS1', 'HOXA10-AS', 'PRMT5-DT', 'LINC01689', 'LINC00882', 'LINC01915', 'MAP4K3-DT', 'LINC-PINT', 'PRR7-AS1', 'LINC00511', 'TTC28-AS1', 'SNHG29', 'TSPOAP1-AS1', 'SNHG15', 'FGD5-AS1', 'LINC01703', 'LINC00960', 'PSMA3-AS1', 'RNF139-DT', 'LINC00525', 'SCARNA9', 'LINC00661', 'ZNF790-AS1']",13,60,50
